person_id,name,dob,wikidata_qid,match_status,match_notes
person-72fb61a58093,Vũ Hồng Thanh,1962-04-19,,ambiguous,"name match, DOB unconfirmed: Q30921400"
person-4ba314390d01,Nguyễn Xuân Thắng,1957-02-18,Q49054650,matched,name + DOB match via search
person-8cfacf2f0845,Lê Minh Chuẩn,1965-04-02,,ambiguous,"name match, DOB unconfirmed: Q47506363"
person-34c3b35e06e2,Ngô Hoàng Ngân,1966-05-25,,ambiguous,"name match, DOB unconfirmed: Q116976058"
person-e90cd319b5d8,Đỗ Thị Lan,1967-11-17,,ambiguous,"name match, DOB unconfirmed: Q47506364"
person-d47682fa57f2,Lương Công Quyết (Hòa thượng Thích Thanh Quyết),1962-06-15,,unmatched,no name candidates on Wikidata
person-81b2ed6d3048,Nguyễn Thị Thu Hà,1978-02-04,,ambiguous,"pool name match, DOB unconfirmed: Q10799708"
person-cf41da07ab1a,Trần Thị Kim Nhung,1973-02-12,Q116976114,matched,name + DOB match via search
person-99702bbf5f39,Đặng Xuân Phong,1972-07-08,,ambiguous,"name match, DOB unconfirmed: Q47506287, Q10841615"
person-4a6aff745af0,Lê Thị Hà (Lê Thu Hà),1968-11-26,,unmatched,no name candidates on Wikidata
person-191bad91ad8e,Hà Đức Minh,1987-04-28,Q116946986,matched,name + DOB match via search
person-a72d99c1bd97,Trần Cẩm Tú,1961-08-25,,ambiguous,"name match, DOB unconfirmed: Q10829281"
person-092d4c5e5e3a,Sùng A Lềnh,1975-08-16,Q116946987,matched,name + DOB match via search
person-452fa099631e,Nguyễn Thị Lan Anh,1981-05-18,,ambiguous,"name match, DOB unconfirmed: Q61132025, Q61129977, Q85866727"
person-bfff39afb603,Phan Đình Trạc,1958-08-25,,ambiguous,"pool name match, DOB unconfirmed: Q10805156"
person-abda1f507a14,Trịnh Thị Tú Anh,1980-08-17,,unmatched,no name candidates on Wikidata
person-376b6e952e68,Nguyễn Tạo,1963-06-16,,ambiguous,"pool name match, DOB unconfirmed: Q130386977"
person-73ab017ff448,Lâm Văn Đoan,1976-01-30,Q116205526,matched,name + DOB match via search
person-ea879cc3958c,K’ Nhiễu,1972-07-13,,unmatched,candidates found but no name match (1 searched)
person-9153fa6bd2a3,Nguyễn Văn Hiển,1974-02-16,,ambiguous,"pool name match, DOB unconfirmed: Q10799904, Q7023019"
person-c0229091ae8a,Trần Đình Văn,1966-06-17,Q116784303,matched,name + DOB match via search
person-f00e76048f7a,Nguyễn Chí Dũng,1960-08-05,Q10799005,matched,name + DOB match via search
person-dceb2f1c9837,Hoàng Đức Thắng,1964-11-12,,ambiguous,"name match, DOB unconfirmed: Q30921761"
person-1387516e3453,Hồ Thị Minh,1976-09-23,,unmatched,no name candidates on Wikidata
person-ffd2157de4bc,Hà Sỹ Đồng,1964-01-18,,ambiguous,"pool name match, DOB unconfirmed: Q10770580"
person-fd6864e6f127,Nguyễn Hữu Đàn,1974-05-28,Q116700342,matched,name + DOB match via search
person-1a343eb1ce11,Lê Quang Tùng,1971-10-30,,ambiguous,"name match, DOB unconfirmed: Q47506391, Q6507551"
person-ef2b94e145ab,Huỳnh Minh Tuấn,1980-10-10,,ambiguous,"name match, DOB unconfirmed: Q30922152"
person-776f22e810f5,Hà Thị Nga,1969-02-20,,ambiguous,"name match, DOB unconfirmed: Q49054138"
person-7a35001fa6b1,Lê Quốc Phong,1978-05-03,Q26237024,matched,name + DOB match via search
person-3c2a1bbfee61,Nguyễn Hải Anh,1967-10-14,Q116890760,matched,name + DOB match via search
person-712837e5013e,Nguyễn Thị Mai Hoa,1967-04-22,,ambiguous,"pool name match, DOB unconfirmed: Q10799656"
person-38fb66aebce8,Lê Minh Hoan,1961-01-19,,ambiguous,"pool name match, DOB unconfirmed: Q16157439"
person-09ec16fa2d35,Phạm Văn Hòa,1962-10-02,,ambiguous,"name match, DOB unconfirmed: Q47506280"
person-fd16db910947,Trần Văn Sáu,1966-05-21,Q116890759,matched,name + DOB match via search
person-011cabf6cfd2,Nguyễn Thị Thu Hà,1970-05-27,Q10799708,matched,name + DOB match in NA-member pool
person-2b941bc5e2c0,Nguyễn Thành Công,1984-07-10,,ambiguous,"name match, DOB unconfirmed: Q47506333, Q124397381"
person-58c729d0329f,Mai Khanh,1975-10-22,,ambiguous,"name match, DOB unconfirmed: Q47506335"
person-d4ab4706d30b,Nguyễn Thị Thanh,1967-02-10,Q10799695,matched,name + DOB match in NA-member pool
person-85368b9da35b,Đinh Việt Dũng,1972-09-10,Q116693077,matched,name + DOB match via search
person-733e1f3d19b9,Trần Thị Hồng Thanh,1977-04-06,Q116955683,matched,name + DOB match via search
person-c60a3bbba503,Nguyễn Hải Dũng,1967-11-11,Q116949045,matched,name + DOB match via search
person-fff9da551a59,Lê Khánh Hải,1966-05-27,,ambiguous,"name match, DOB unconfirmed: Q97927041"
person-294ece5b5b80,Nguyễn Thị Thúy Ngọc,1982-07-22,,unmatched,no name candidates on Wikidata
person-fda628e82d7a,Lê Quốc Chỉnh,1968-12-01,,ambiguous,"name match, DOB unconfirmed: Q109441606"
person-b7ead9912134,Mai Thị Phương Hoa,1971-11-25,,ambiguous,"name match, DOB unconfirmed: Q47506330"
person-b45afbf760bf,Khương Thị Mai,1966-09-08,,unmatched,no name candidates on Wikidata
person-3d2cdee16aa3,Võ Văn Kim (Vũ Trọng Kim),1953-03-23,,unmatched,no name candidates on Wikidata
person-921f745fbf4e,Trần Thị Quỳnh,1993-01-23,,ambiguous,"name match, DOB unconfirmed: Q10829525"
person-39bb794b914f,Trần Văn Lâm,1970-01-27,,ambiguous,"name match, DOB unconfirmed: Q5083022, Q111510957"
person-d4cd86bef295,Leo Thị Lịch,1969-09-23,,ambiguous,"name match, DOB unconfirmed: Q30921843"
person-0483aee6100f,Nguyễn Văn Thi,1968-04-11,,unmatched,candidates found but no name match (13 searched)
person-ab45ce898c52,Nguyễn Hòa Bình,1958-05-24,Q10799132,matched,name + DOB match in NA-member pool
person-aa25178cac85,Dương Văn Thái,1970-07-22,,ambiguous,"multiple name+DOB matches: Q86006845, Q86006843"
person-cb2abef0c72e,Đỗ Thị Việt Hà,1978-07-29,Q116859368,matched,name + DOB match via search
person-d40f3b3a0c19,Nguyễn Thị Thúy Ngần,1972-01-20,Q116729648,matched,name + DOB match via search
person-a9276db99138,Trần Văn Tuấn,1970-06-03,,ambiguous,"pool name match, DOB unconfirmed: Q10829633"
person-0b4d6f1b03e2,Phạm Văn Thịnh,1981-12-13,Q116775732,matched,name + DOB match via search
person-3475dc8e32e8,Nguyễn Trường Giang,1971-08-07,,ambiguous,"name match, DOB unconfirmed: Q30922103, Q89422432"
person-da850fb8b3ab,Dương Khắc Mai (Dương Ngọc Mai),1969-06-09,,unmatched,no name candidates on Wikidata
person-d345c73ad148,Trần Thị Thu Hằng,1982-03-11,,ambiguous,"name match, DOB unconfirmed: Q89728678"
person-f5035869a3cc,Ngô Thanh Danh,1965-10-20,,ambiguous,"name match, DOB unconfirmed: Q30922077"
person-03ac509f9ef6,Phạm Nam Tiến,1968-11-01,Q116880055,matched,name + DOB match via search
person-5c41f97478c9,Phạm Thị Kiều,1981-10-20,,unmatched,no name candidates on Wikidata
person-6c67c1f1b13f,Hoàng Thị Thúy Lan,1966-05-06,,ambiguous,"name match, DOB unconfirmed: Q24957812"
person-2949d4901655,Bùi Thanh Sơn,1962-10-16,,ambiguous,"name match, DOB unconfirmed: Q30921853"
person-32c858d6ce80,Trần Văn Tiến,1962-05-05,,unmatched,no name candidates on Wikidata
person-8bbacd621001,Nguyễn Văn Mạnh,1978-04-15,Q117023329,matched,name + DOB match via search
person-ba9cbeb73612,Thái Quỳnh Mai Dung,1977-05-15,Q117023344,matched,name + DOB match via search
person-51b8457c0ff6,Lê Tất Hiếu,1966-08-01,,ambiguous,"name match, DOB unconfirmed: Q61130675"
person-fa61bed01c15,Phạm Minh Chính,1958-12-10,Q10806940,matched,name + DOB match via search
person-81c6d5c17701,Nguyễn Văn Thuận,1965-12-08,,ambiguous,"pool name match, DOB unconfirmed: Q10799983"
person-a59f6ce101d3,Đào Chí Nghĩa,1982-06-12,,ambiguous,"name match, DOB unconfirmed: Q118251030"
person-c8e6d59f4687,Lê Quang Mạnh,1974-04-14,Q65171363,matched,name + DOB match via search
person-cb3faca6947d,Trương Thị Ngọc Ánh,1966-10-10,,ambiguous,"name match, DOB unconfirmed: Q109442141, Q118250897"
person-c3bb9bca8d77,Nguyễn Thanh Phương,1965-04-03,,ambiguous,"pool name match, DOB unconfirmed: Q10799494"
person-3fd32e0e8fc8,Nguyễn Mạnh Hùng,1975-07-15,Q116850650,matched,name + DOB match via search
person-26eced14feb6,Nguyễn Phương Tuấn,1975-03-20,,ambiguous,"name match, DOB unconfirmed: Q47506336"
person-bf0cb8c82b94,Châu Quỳnh Dao,1977-05-18,,ambiguous,"name match, DOB unconfirmed: Q47506307"
person-d3aa68dd45b8,Lê Thành Long,1963-09-23,,ambiguous,"pool name match, DOB unconfirmed: Q10787813"
person-2e2d29509887,Nguyễn Thị Kim Bé,1968-09-10,,ambiguous,"pool name match, DOB unconfirmed: Q10799634"
person-ba4f4c3d41e1,Nguyễn Việt Thắng,1972-03-13,,ambiguous,"name match, DOB unconfirmed: Q7023058, Q30924034, Q130044724"
person-ff956b428900,Đỗ Thanh Bình,1967-03-15,,ambiguous,"name match, DOB unconfirmed: Q97162445"
person-c6c73653c47f,Lý Anh Thư,1976-05-05,,unmatched,no name candidates on Wikidata
person-701ec51d6f76,Nguyễn Danh Tú,1981-10-16,Q116938007,matched,name + DOB match via search
person-8b24c0b4b7ae,Giàng Páo Mỷ,1963-12-22,,ambiguous,"name match, DOB unconfirmed: Q47506315"
person-bc57fd7e2f7c,Nguyễn Hữu Toàn,1968-10-30,,ambiguous,"name match, DOB unconfirmed: Q47506313, Q124310174"
person-7ebf70495f70,Tao Văn Giót,1990-08-16,,unmatched,no name candidates on Wikidata
person-5140b96e745d,Hoàng Văn Bình (Hoàng Thanh Bình),1970-11-30,,unmatched,no name candidates on Wikidata
person-74aee8a4c6db,Hoàng Quốc Khánh,1974-09-30,Q116941779,matched,name + DOB match via search
person-31e392692acf,Trần Hồng Minh,1967-11-04,,ambiguous,"name match, DOB unconfirmed: Q20026217"
person-f9ade70d0db6,Nguyễn Văn Hùng,1961-04-20,,ambiguous,"pool name match, DOB unconfirmed: Q10799911"
person-959568c82120,Phạm Đình Thanh,1967-09-10,Q116941482,matched,name + DOB match via search
person-eee304557141,Nàng Xô Vi,1996-02-11,,unmatched,no name candidates on Wikidata
person-26c368059070,Trần Thị Thu Phước,1976-10-20,Q116941512,matched,name + DOB match via search
person-4fa6ed1c93ce,Tô Văn Tám,1963-10-10,,ambiguous,"pool name match, DOB unconfirmed: Q10831212"
person-a7688fad5657,U Huấn,1980-01-22,,ambiguous,"name match, DOB unconfirmed: Q109672424"
person-b5adc7f92454,Trần Thanh Mẫn,1962-08-12,Q10829474,matched,name + DOB match in NA-member pool
person-371e63ff1487,Nguyễn Văn Quân,1980-03-08,Q135319530,matched,name + DOB match via search
person-28d3253ec117,Thái Thu Xương,1975-12-31,Q132531130,matched,name + DOB match via search
person-f72bbb9cd903,Lê Tiến Châu,1969-10-05,Q61128959,matched,name + DOB match via search
person-6b5363701689,Lê Thị Thanh Lam,1974-11-30,Q132600480,matched,name + DOB match via search
person-24ea44f02f96,Lê Minh Nam,1975-02-28,Q127630941,matched,name + DOB match via search
person-581b2f2abf8e,Nguyễn Hữu Đông,1972-09-20,,ambiguous,"pool name match, DOB unconfirmed: Q10799203"
person-0106d446b05a,Hoàng Thị Đôi,1977-06-04,Q116979918,matched,name + DOB match via search
person-81f10e7a4c05,Lò Việt Phương,1973-06-17,Q116748775,matched,name + DOB match via search
person-f5f331d04fe8,Quàng Văn Hương,1969-07-03,,ambiguous,"name match, DOB unconfirmed: Q47506367"
person-1807c8bad951,Chá A Của,1974-11-14,Q116226109,matched,name + DOB match via search
person-9e31421f44a9,Đinh Công Sỹ,1979-11-25,,ambiguous,"pool name match, DOB unconfirmed: Q10840090"
person-247f65513874,Vi Đức Thọ,1976-11-22,Q116777857,matched,name + DOB match via search
person-3da19c45f824,Nguyễn Anh Tuấn,1979-11-26,Q30924053,matched,name + DOB match via search
person-ee81bf561362,Vũ Hải Quân,1974-08-01,,ambiguous,"name match, DOB unconfirmed: Q109440061"
person-bf29c18a30c8,Nguyễn Thanh Sang,1969-10-09,,ambiguous,"name match, DOB unconfirmed: Q20026001"
person-126db4673878,Trần Kim Yến,1969-08-03,,ambiguous,"name match, DOB unconfirmed: Q30921328"
person-7d1e652d3471,Nguyễn Sỹ Quang,1970-02-01,,ambiguous,"name match, DOB unconfirmed: Q118251322"
person-b099d979ecd9,Đỗ Đức Hiển,1977-09-14,Q116844673,matched,name + DOB match via search
person-090c9521a346,Nguyễn Tri Thức,1973-09-16,Q108164910,matched,name + DOB match in NA-member pool
person-43250cdda068,Lê Minh Trí,1960-11-01,Q16480107,matched,name + DOB match via search
person-97361cf901c7,Lê Thanh Phong,1967-10-06,,ambiguous,"pool name match, DOB unconfirmed: Q10787816"
person-0a53a1ce07e3,Văn Thị Bạch Tuyết,1976-06-16,,ambiguous,"name match, DOB unconfirmed: Q30921330"
person-1b90489a6deb,Trần Hoàng Ngân,1964-10-26,,ambiguous,"pool name match, DOB unconfirmed: Q10829301"
person-bbee9c8262d9,Nguyễn Thị Hồng Hạnh,1974-01-11,,ambiguous,"name match, DOB unconfirmed: Q85866722"
person-26d8b03c9ccd,Nguyễn Minh Đức,1969-07-19,,ambiguous,"name match, DOB unconfirmed: Q10527507, Q30923952, Q20025980, Q100542645, Q94518618, Q96640356"
person-ec3b0b9ac0cb,Trần Anh Tuấn,1974-07-02,,ambiguous,"name match, DOB unconfirmed: Q47506274, Q16611818, Q61813779"
person-95e30304160b,Trần Thị Diệu Thúy,1977-03-08,,ambiguous,"pool name match, DOB unconfirmed: Q10829504"
person-b88aca311e05,Nguyễn Thiện Nhân,1953-06-12,Q7022980,matched,name + DOB match in NA-member pool
person-0e57ac001720,Dương Ngọc Hải,1967-02-03,,ambiguous,"name match, DOB unconfirmed: Q30923886, Q16542659"
person-efeb1ed0c737,Hà Phước Thắng,1976-03-26,Q116844801,matched,name + DOB match via search
person-7edb8b6c862d,Phạm Khánh Phong Lan,1970-05-17,Q10806932,matched,name + DOB match in NA-member pool
person-3810e524825f,Phan Thị Thanh Phương,1984-02-29,Q116755400,matched,name + DOB match via search
person-e6137a0cdf14,Nguyễn Minh Hoàng,1960-05-16,,ambiguous,"name match, DOB unconfirmed: Q10799277, Q30923954"
person-26f1dccddc65,Tô Thị Bích Châu,1969-06-01,,ambiguous,"name match, DOB unconfirmed: Q30921323"
person-6fe7c202a66c,Đặng Văn Lẫm,1968-10-18,Q116691801,matched,name + DOB match via search
person-a2f03e017f50,Trương Trọng Nghĩa,1953-02-28,Q10828749,matched,name + DOB match in NA-member pool
person-6a18d21a02da,Trần Lưu Quang,1967-08-30,Q10829370,matched,name + DOB match via search
person-dc903462607a,Dương Văn Thăng,1969-03-08,Q65164388,matched,name + DOB match via search
person-ed21f999d7ea,Nguyễn Trần Phượng Trân,1976-01-28,Q116847509,matched,name + DOB match via search
person-4ad18a061e5b,Nguyễn Xuân Phúc,1954-07-20,Q10800073,matched,name + DOB match in NA-member pool
person-a5140b94bbc2,Nguyễn Thị Lệ,1967-09-26,Q65172108,matched,name + DOB match via search
person-cbcc44cb3542,Phan Văn Xựng,1967-03-07,,unmatched,candidates found but no name match (1 searched)
person-ff5e8ac87d7d,Châu Ngọc Tuấn,1970-12-28,,ambiguous,"name match, DOB unconfirmed: Q109441616"
person-3cdb6a5201ae,Đinh Ngọc Quý,1973-02-20,Q116894193,matched,name + DOB match via search
person-a37db7105189,Rơ Châm H′Phik,1979-02-15,,unmatched,no name candidates on Wikidata
person-597956f3bfae,Nguyễn Thị Mai Phương,1970-08-10,Q30921917,matched,name + DOB match via search
person-19d68d03ff79,Đinh Văn Thê,1975-04-30,Q116813883,matched,name + DOB match via search
person-93dd006a6990,Y Thanh Hà Niê Kđăm,1973-12-23,,ambiguous,"name match, DOB unconfirmed: Q65172375"
person-59f22c7edc87,Lê Hoàng Anh,1973-07-30,Q116894412,matched,name + DOB match via search
person-62f6cb29fa99,Siu Hương,1983-08-16,Q49056026,matched,name + DOB match via search
person-288d892fafdc,Nguyễn Công Hoàng,1974-11-26,Q116982967,matched,name + DOB match via search
person-b60086ecc471,Lý Văn Huấn,1971-10-13,,ambiguous,"name match, DOB unconfirmed: Q61131865"
person-03d90edf2989,Phan Văn Giang,1960-10-14,,ambiguous,"pool name match, DOB unconfirmed: Q20026119"
person-59b7154e702a,Đoàn Thị Hảo,1966-12-28,,ambiguous,"name match, DOB unconfirmed: Q30921730"
person-018f33f0c2ef,Nguyễn Lâm Thành,1964-07-07,,ambiguous,"pool name match, DOB unconfirmed: Q10799262"
person-81a4cec15baa,Nguyễn Thanh Hải,1970-10-02,Q10799486,matched,name + DOB match in NA-member pool
person-9fa28d767d0e,Hoàng Anh Công,1971-03-28,Q116149098,matched,name + DOB match via search
person-41b3e1601259,Trần Tuấn Anh,1964-04-06,Q24954814,matched,name + DOB match via search
person-fc985555dfd8,Lê Xuân Thân,1961-05-02,,ambiguous,"pool name match, DOB unconfirmed: Q10787962"
person-6a9726ccab11,Hà Quốc Trị,1969-02-18,Q116783514,matched,name + DOB match via search
person-b4d2b1b37b56,Đỗ Ngọc Thịnh,1960-01-10,,ambiguous,"name match, DOB unconfirmed: Q30921928"
person-679600f8fca9,Trần Ngọc Khánh,1964-11-14,,ambiguous,"name match, DOB unconfirmed: Q30920689"
person-8e8f296d36af,Lê Hữu Trí,1968-02-13,Q116924371,matched,name + DOB match via search
person-11a9f75309c1,Hà Hồng Hạnh,1976-11-18,Q116924372,matched,name + DOB match via search
person-b3ee2fbef5fa,Đào Hồng Lan,1971-07-23,,ambiguous,"name match, DOB unconfirmed: Q49081097"
person-aeb1c1d406d0,Nguyễn Ngọc Bảo,1967-06-16,,ambiguous,"name match, DOB unconfirmed: Q30924029"
person-5e601fc58596,Trần Quốc Tỏ,1962-01-28,Q16158905,matched,name + DOB match via search
